club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,match_score,best_match_name,best_match_Overall_Match_Total_Standardized
Real Sociedad,Javi Ros,22.0,Central Midfield,Real Sociedad B,-,in,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Borja Viguera,25.0,Centre-Forward,Albacete,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Jeffrey Sarpong,23.0,Right Midfield,NAC Breda,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Vadim Demidov,25.0,Centre-Back,E. Frankfurt,€500Th.,out,Summer,0.5,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Yuri Berchiche,22.0,Left-Back,SD Eibar,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Borja Viguera,25.0,Centre-Forward,Alavés,?,out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Joseba Llorente,32.0,Centre-Forward,CA Osasuna,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Jeffrey Sarpong,24.0,Right Midfield,Hércules CF,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Mikel Aranburu,33.0,Defensive Midfield,Retired,-,out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Carlos Vela,23.0,Right Winger,Arsenal,"End of loanJun 30, 2012",out,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Madrid,Luka Modric,26.0,Central Midfield,Spurs,€35.00m,in,Summer,35.0,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Michael Essien,29.0,Defensive Midfield,Chelsea,loan transfer,in,Summer,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Sergio Canales,21.0,Attacking Midfield,Valencia,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Fernando Gago,26.0,Defensive Midfield,AS Roma,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Royston Drenthe,25.0,Left Winger,Everton,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Esteban Granero,25.0,Central Midfield,QPR,€8.00m,out,Summer,8.0,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Sergio Canales,21.0,Attacking Midfield,Valencia,€7.50m,out,Summer,7.5,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Lassana Diarra,27.0,Defensive Midfield,Anzhi,€5.00m,out,Summer,5.0,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Nuri Sahin,23.0,Defensive Midfield,Liverpool,Loan fee:€5.00m,out,Summer,5.0,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Hamit Altintop,29.0,Right Midfield,Galatasaray,€3.50m,out,Summer,3.5,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Fernando Gago,26.0,Defensive Midfield,Valencia,€3.50m,out,Summer,3.5,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Royston Drenthe,25.0,Left Winger,Without Club,-,out,Summer,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Sevilla FC,Geoffrey Kondogbia,19.0,Defensive Midfield,Lens,€4.00m,in,Summer,4.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Diego López,30.0,Goalkeeper,Villarreal,€3.50m,in,Summer,3.5,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Alberto Botía,23.0,Centre-Back,Sporting Gijón,€3.00m,in,Summer,3.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Cicinho,25.0,Right-Back,Palmeiras,€2.00m,in,Summer,2.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Hedwiges Maduro,27.0,Defensive Midfield,Valencia,free transfer,in,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Emiliano Armenteros,26.0,Left Winger,Rayo Vallecano,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Martín Cáceres,25.0,Centre-Back,Juventus,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Javi Hervás,23.0,Central Midfield,Córdoba CF,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Bernardo Espinosa,22.0,Centre-Back,Racing,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Romaric,29.0,Defensive Midfield,Espanyol,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Arouna Koné,28.0,Centre-Forward,Levante,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Lautaro Acosta,24.0,Left Winger,Racing,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Martín Cáceres,25.0,Centre-Back,Juventus,€8.00m,out,Summer,8.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Luis Alberto,19.0,Central Midfield,Barcelona B,Loan fee:€200Th.,out,Summer,0.2,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Romaric,29.0,Defensive Midfield,Real Zaragoza,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Julien Escudé,32.0,Centre-Back,Besiktas,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Emiliano Armenteros,26.0,Left Winger,CA Osasuna,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Arouna Koné,28.0,Centre-Forward,Levante,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Frédéric Kanouté,34.0,Centre-Forward,BJ Guoan,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Lautaro Acosta,24.0,Left Winger,Boca Juniors,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Tiberio Guarente,26.0,Central Midfield,Bologna,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Javi Varas,29.0,Goalkeeper,Celta de Vigo,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Tom De Mul,26.0,Right Midfield,Without Club,-,out,Summer,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Athletic Bilbao,Aymeric Laporte,18.0,Centre-Back,Bilbao Athletic,-,in,Winter,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iñigo Ruiz de Galarreta,19.0,Central Midfield,Bilbao Athletic,-,in,Winter,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Igor Martínez,23.0,Attacking Midfield,Bilbao Athletic,-,in,Winter,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Real Sociedad,Jeffrey Sarpong,24.0,Right Midfield,Hércules CF,"End of loanDec 31, 2012",in,Winter,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Jeffrey Sarpong,24.0,Right Midfield,Without Club,-,out,Winter,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Madrid,Diego López,31.0,Goalkeeper,Sevilla FC,€3.50m,in,Winter,3.5,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Nuri Sahin,24.0,Defensive Midfield,Liverpool,"End of loanJan 10, 2013",in,Winter,,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Real Madrid,Nuri Sahin,24.0,Defensive Midfield,Bor. Dortmund,Loan fee:€1.00m,out,Winter,1.0,Primera Division,2012,2012/2013,Spain,100,Real Madrid,0.4133304437317352
Sevilla FC,Miroslav Stevanovic,22.0,Right Midfield,Vojvodina,€1.50m,in,Winter,1.5,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Beto,30.0,Goalkeeper,SC Braga,loan transfer,in,Winter,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Alberto Moreno,20.0,Left-Back,Sevilla Atl.,-,in,Winter,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Diego López,31.0,Goalkeeper,Real Madrid,€3.50m,out,Winter,3.5,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Emir Spahic,32.0,Centre-Back,Anzhi,Loan fee:€500Th.,out,Winter,0.5,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Bernardo Espinosa,23.0,Centre-Back,Sporting Gijón,loan transfer,out,Winter,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Sevilla FC,Antonio Luna,21.0,Left-Back,RCD Mallorca,loan transfer,out,Winter,,Primera Division,2012,2012/2013,Spain,56,AC Milan,0.4062825847947185
Real Sociedad,Haris Seferovic,21.0,Centre-Forward,Fiorentina,€3.00m,in,Summer,3.0,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Mikel Abaroa,24.0,Attacking Midfield,SD Eibar,free transfer,in,Summer,0.0,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Óscar Vega,26.0,Attacking Midfield,CD Leganés,?,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Esteban Granero,26.0,Central Midfield,QPR,loan transfer,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Joseba Llorente,33.0,Centre-Forward,CA Osasuna,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Asier Illarramendi,23.0,Defensive Midfield,Real Madrid,€32.00m,out,Summer,32.0,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Mikel Abaroa,24.0,Attacking Midfield,Real Unión,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Óscar Vega,27.0,Attacking Midfield,Real Unión,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Real Sociedad,Joseba Llorente,33.0,Centre-Forward,Retired,-,out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Sociedad,0.0607542567348171
Athletic Bilbao,Beñat Etxebarria,26.0,Central Midfield,Real Betis,€8.00m,in,Summer,8.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Kike Sola,27.0,Centre-Forward,CA Osasuna,€4.00m,in,Summer,4.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Mikel Rico,28.0,Central Midfield,Granada CF,€2.90m,in,Summer,2.9,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Mikel Balenziaga,25.0,Left-Back,Real Valladolid,€500Th.,in,Summer,0.5,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Xabi Etxeita,25.0,Centre-Back,Elche CF,free transfer,in,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Guillermo Fernández,21.0,Centre-Forward,Bilbao Athletic,-,in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Jonás Ramalho,20.0,Centre-Back,Bilbao Athletic,-,in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Unai Albizua,24.0,Centre-Back,Bilbao Athletic,-,in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Erik Morán,22.0,Defensive Midfield,Bilbao Athletic,-,in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Enric Saborit,21.0,Left-Back,Bilbao Athletic,-,in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Iago Herrerín,25.0,Goalkeeper,CD Numancia,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Iban Zubiaurre,30.0,Right-Back,UD Salamanca,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Iban Zubiaurre,30.0,Right-Back,Racing,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Fernando Llorente,28.0,Centre-Forward,Juventus,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Fernando Amorebieta,28.0,Centre-Back,Fulham,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Isma López,23.0,Left-Back,Sporting Gijón,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Xabier Castillo,27.0,Left-Back,UD Las Palmas,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Igor Martínez,23.0,Attacking Midfield,CD Mirandés,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Iñigo Ruiz de Galarreta,20.0,Central Midfield,CD Mirandés,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Jonás Ramalho,20.0,Centre-Back,Girona,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Iñigo Pérez,25.0,Central Midfield,RCD Mallorca,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Raúl Fernández,25.0,Goalkeeper,CD Numancia,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Athletic Bilbao,Jon Aurtenetxe,21.0,Centre-Back,Celta de Vigo,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,60,Atletico Madrid,0.2597835912278392
Real Madrid,Gareth Bale,24.0,Right Winger,Spurs,€101.00m,in,Summer,101.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Asier Illarramendi,23.0,Defensive Midfield,Real Sociedad,€32.00m,in,Summer,32.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Isco,21.0,Attacking Midfield,Málaga CF,€30.00m,in,Summer,30.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Daniel Carvajal,21.0,Right-Back,Bay. Leverkusen,€6.50m,in,Summer,6.5,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Casemiro,21.0,Defensive Midfield,São Paulo,€6.00m,in,Summer,6.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Jesé,20.0,Centre-Forward,RM Castilla,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Jesús Fernández,25.0,Goalkeeper,RM Castilla,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Denis Cheryshev,22.0,Left Winger,RM Castilla,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Álvaro Morata,20.0,Centre-Forward,RM Castilla,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Nacho Fernández,23.0,Centre-Back,RM Castilla,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Pedro León,26.0,Right Winger,Getafe,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Mesut Özil,24.0,Attacking Midfield,Arsenal,€47.00m,out,Summer,47.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Gonzalo Higuaín,25.0,Centre-Forward,SSC Napoli,€39.00m,out,Summer,39.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Raúl Albiol,27.0,Centre-Back,SSC Napoli,€12.00m,out,Summer,12.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,José Callejón,26.0,Right Winger,SSC Napoli,€9.50m,out,Summer,9.5,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Pedro León,26.0,Right Winger,Getafe,€6.00m,out,Summer,6.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Kaká,31.0,Attacking Midfield,AC Milan,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Ricardo Carvalho,35.0,Centre-Back,Monaco,free transfer,out,Summer,0.0,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Denis Cheryshev,22.0,Left Winger,Sevilla FC,loan transfer,out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Antonio Adán,26.0,Goalkeeper,Without Club,-,out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Real Madrid,Michael Essien,30.0,Defensive Midfield,Chelsea,"End of loanJun 30, 2013",out,Summer,,Primera Division,2013,2013/2014,Spain,100,Real Madrid,0.3720448636136727
Sevilla FC,Carlos Bacca,26.0,Centre-Forward,Club Brugge,€10.00m,in,Summer,10.0,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Kévin Gameiro,26.0,Centre-Forward,Paris SG,€7.50m,in,Summer,7.5,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Vicente Iborra,25.0,Central Midfield,Levante,€4.20m,in,Summer,4.2,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Vitolo,23.0,Left Winger,UD Las Palmas,€3.20m,in,Summer,3.2,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Sebastián Cristóforo,19.0,Central Midfield,Peñarol,€2.25m,in,Summer,2.25,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Jairo Samperio,19.0,Left Winger,Racing,€2.20m,in,Summer,2.2,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Raul Rusescu,24.0,Centre-Forward,Steaua Bucharest,€2.20m,in,Summer,2.2,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Beto,31.0,Goalkeeper,SC Braga,€2.00m,in,Summer,2.0,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Diogo Figueiras,22.0,Right-Back,Paços Ferreira,€1.00m,in,Summer,1.0,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Daniel Carriço,24.0,Centre-Back,Reading,Loan fee:€750Th.,in,Summer,0.75,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Denis Cheryshev,22.0,Left Winger,Real Madrid,loan transfer,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Nicolás Pareja,29.0,Centre-Back,Spartak Moscow,loan transfer,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Stéphane Mbia,27.0,Defensive Midfield,QPR,loan transfer,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Marko Marin,24.0,Attacking Midfield,Chelsea,loan transfer,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Julián Cuesta,22.0,Goalkeeper,Sevilla Atl.,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Bryan Rabello,19.0,Attacking Midfield,Sevilla Atl.,-,in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Javi Varas,30.0,Goalkeeper,Celta de Vigo,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Emir Spahic,32.0,Centre-Back,Anzhi,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Antonio Luna,22.0,Left-Back,RCD Mallorca,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Bernardo Espinosa,23.0,Centre-Back,Sporting Gijón,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
Sevilla FC,Hiroshi Ibusuki,22.0,Centre-Forward,KAS Eupen,"End of loanJun 30, 2013",in,Summer,,Primera Division,2013,2013/2014,Spain,100,Sevilla FC,0.1093525968272595
